127.0.0.1 - - [01/May/2017:20:52:20 -0700] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/May/2017:20:52:22 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [01/May/2017:20:52:54 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [01/May/2017:20:53:49 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [01/May/2017:20:54:22 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [01/May/2017:20:54:26 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:20:54:47 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [01/May/2017:20:54:55 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:20:56:16 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [01/May/2017:20:56:21 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:20:56:32 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:20:57:17 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [01/May/2017:21:03:44 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [01/May/2017:21:08:40 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [01/May/2017:21:11:05 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [01/May/2017:21:13:12 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [01/May/2017:21:15:09 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [01/May/2017:21:15:44 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [01/May/2017:21:16:05 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [01/May/2017:21:17:30 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [01/May/2017:21:17:56 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [01/May/2017:21:19:46 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [01/May/2017:21:23:59 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [01/May/2017:21:24:52 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [01/May/2017:21:25:21 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [01/May/2017:21:26:31 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [01/May/2017:21:27:01 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:21:28:48 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [01/May/2017:22:03:36 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [01/May/2017:22:03:56 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [01/May/2017:22:04:27 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [01/May/2017:22:06:16 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2017:22:07:44 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [01/May/2017:22:08:23 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [01/May/2017:22:08:37 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [01/May/2017:22:10:31 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [01/May/2017:22:11:38 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [01/May/2017:22:17:27 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 743
